1:1979375:2665000	1:3355000:3861875
1:3355000:3861875	1:5535000:6027500
1:5535000:6027500	1:7690000:8393750
1:7690000:8393750	1:9547500:9785000
1:9547500:9785000	1:9916875:10712500
1:9916875:10712500	1:10983750:11640000
1:10983750:11640000	1:12112500:13339375
1:12112500:13339375	1:13628125:14152500
1:13628125:14152500	1:14280000:15115000
1:14280000:15115000	1:15625000:15842500
1:15625000:15842500	1:15857500:16092500
1:15857500:16092500	1:16097500:16392500
1:16097500:16392500	1:16515000:16878125
1:16515000:16878125	1:17198750:17788750
1:17198750:17788750	1:17972500:19190000
1:17972500:19190000	1:19396250:19577500
1:19396250:19577500	1:19612500:20035000
1:19612500:20035000	1:20217500:20810625
1:20217500:20810625	1:20970000:21528125
1:20970000:21528125	1:21539375:22216875
1:21539375:22216875	1:22323750:22490000
1:22323750:22490000	1:23280000:23630000
1:23280000:23630000	1:23798750:24032500
1:23798750:24032500	1:24062500:24346250
1:24062500:24346250	1:24375000:24952500
1:24375000:24952500	1:25182500:25616875
1:25182500:25616875	1:26137500:26382500
1:26137500:26382500	1:26437500:26752500
1:26437500:26752500	1:26762500:27258750
1:26762500:27258750	1:27851250:28107500
1:27851250:28107500	1:29143750:29598750
1:29143750:29598750	1:29635000:31102500
1:29635000:31102500	1:31147500:31590625
1:31147500:31590625	1:32072500:32257500
1:32072500:32257500	1:32262500:32906250
1:32262500:32906250	1:33631250:33972500
1:33631250:33972500	1:34007500:35270000
1:34007500:35270000	1:35582500:36250000
1:35582500:36250000	1:36255000:36547500
1:36255000:36547500	1:36562500:36995000
1:36562500:36995000	1:37005000:37890000
1:37005000:37890000	1:37895000:38175000
1:37895000:38175000	1:38497500:39092500
1:38497500:39092500	1:40027500:40207500
1:40027500:40207500	1:40345000:41077500
1:40345000:41077500	1:43220000:43357500
1:43220000:43357500	1:43362500:43642500
1:43362500:43642500	1:43647500:43966250
1:43647500:43966250	1:44645000:45190000
1:44645000:45190000	1:46466250:46662500
1:46466250:46662500	1:46689375:46890000
1:46689375:46890000	1:46895000:47282500
1:46895000:47282500	1:47880000:48175000
1:47880000:48175000	1:48312500:49250000
1:48312500:49250000	1:51187500:51690000
1:51187500:51690000	1:51800000:52427500
1:51800000:52427500	1:52837500:53510000
1:52837500:53510000	1:53835000:54135000
1:53835000:54135000	1:54250000:54552500
1:54250000:54552500	1:55500000:55760000
1:55500000:55760000	1:55775000:56712500
1:55775000:56712500	1:56867500:57260000
1:56867500:57260000	1:57690000:58877500
1:57690000:58877500	1:58940000:59137500
1:58940000:59137500	1:59142500:60335000
1:59142500:60335000	1:60365000:61202500
1:60365000:61202500	1:61402500:62670000
1:61402500:62670000	1:63776875:64720000
1:63776875:64720000	1:64725000:65318750
1:64725000:65318750	1:65326250:65690000
1:65326250:65690000	1:67977500:68265000
1:67977500:68265000	1:69007500:69332500
1:69007500:69332500	1:69402500:70450000
1:69402500:70450000	1:70610000:70967500
1:70610000:70967500	1:71682500:71785000
1:71682500:71785000	1:72220000:73517500
1:72220000:73517500	1:74270000:75197500
1:74270000:75197500	1:75582500:75897500
1:75582500:75897500	1:79985000:80173125
1:79985000:80173125	1:83873750:84330000
1:83873750:84330000	1:84887500:85435000
1:84887500:85435000	1:87117500:87627500
1:87117500:87627500	1:87660000:89085000
1:87660000:89085000	1:89095000:89370000
1:89095000:89370000	1:90580000:91355000
1:90580000:91355000	1:91892500:92460000
1:91892500:92460000	1:92703750:93222500
1:92703750:93222500	1:93720000:94415000
1:93720000:94415000	1:94822500:95322500
1:94822500:95322500	1:95335000:95632500
1:95335000:95632500	1:95830000:96210000
1:95830000:96210000	1:96305000:96750000
1:96305000:96750000	1:97510000:98775000
1:97510000:98775000	1:98965000:100222500
1:98965000:100222500	1:100227500:101055000
1:100227500:101055000	1:101075000:101377500
1:101075000:101377500	1:101382500:101827500
1:101382500:101827500	1:108110000:108856875
1:108110000:108856875	1:109292500:109497500
1:109292500:109497500	1:109792500:109970000
1:109792500:109970000	1:110235000:110605000
1:110235000:110605000	1:110630000:111085000
1:110630000:111085000	1:111300000:111515000
1:111300000:111515000	1:111575000:111922500
1:111575000:111922500	1:111942500:112377500
1:111942500:112377500	1:113280000:113677500
1:113280000:113677500	1:113745000:114190000
1:113745000:114190000	1:114207500:114512500
1:114207500:114512500	1:114517500:114850000
1:114517500:114850000	1:114862500:115360000
1:114862500:115360000	1:115480000:115727500
1:115480000:115727500	1:116242500:116630000
1:116242500:116630000	1:117212500:117650000
1:117212500:117650000	1:117655000:118585000
1:117655000:118585000	1:118957500:119635000
1:118957500:119635000	1:120072500:120725625
1:120072500:120725625	1:144400000:145124375
1:144400000:145124375	1:145214375:145910625
1:145214375:145910625	1:146185625:148072500
1:146185625:148072500	1:149220000:150205000
1:149220000:150205000	1:151055000:151257500
1:151055000:151257500	1:151410000:151765000
1:151410000:151765000	1:151800000:152027500
1:151800000:152027500	1:152032500:152195000
1:152032500:152195000	1:152217500:152452500
1:152217500:152452500	1:152770000:153195000
1:152770000:153195000	1:153292500:153484375
1:153292500:153484375	1:154917500:155165000
1:154917500:155165000	1:156022500:156327500
1:156022500:156327500	1:156332500:156651250
1:156332500:156651250	1:156822500:157141875
1:156822500:157141875	1:158085000:158737500
1:158085000:158737500	1:158750000:159082500
1:158750000:159082500	1:159087500:160127500
1:159087500:160127500	1:160347500:160592500
1:160347500:160592500	1:160597500:161136250
1:160597500:161136250	1:161158750:161416875
1:161158750:161416875	1:161435625:161750000
1:161435625:161750000	1:162803750:163330000
1:162803750:163330000	1:164647500:165077500
1:164647500:165077500	1:165322500:165580000
1:165322500:165580000	1:165585000:166000625
1:165585000:166000625	1:166217500:166770000
1:166217500:166770000	1:166960000:167510000
1:166960000:167510000	1:167537500:168062500
1:167537500:168062500	1:168245000:169312500
1:168245000:169312500	1:169317500:169970000
1:169317500:169970000	1:171352500:171845000
1:171352500:171845000	1:172402500:172607500
1:172402500:172607500	1:172732500:173342500
1:172732500:173342500	1:173357500:173732500
1:173357500:173732500	1:174172500:174727500
1:174172500:174727500	1:175087500:175410000
1:175087500:175410000	1:178012500:178287500
1:178012500:178287500	1:178465000:178950000
1:178465000:178950000	1:179007500:179412500
1:179007500:179412500	1:179417500:179777500
1:179417500:179777500	1:180165000:180472500
1:180165000:180472500	1:182027500:182577500
1:182027500:182577500	1:182582500:182880000
1:182582500:182880000	1:183150000:183695000
1:183150000:183695000	1:184647500:185035000
1:184647500:185035000	1:185122500:185782500
1:185122500:185782500	1:190240000:190530000
1:190240000:190530000	1:191935000:192422500
1:191935000:192422500	1:192427500:192745000
1:192427500:192745000	1:192750000:193142500
1:192750000:193142500	1:193585000:194657500
1:193585000:194657500	1:195747500:196850000
1:195747500:196850000	1:197292500:197867500
1:197292500:197867500	1:199585000:200075000
1:199585000:200075000	1:200557500:200860000
1:200557500:200860000	1:200907500:201202500
1:200907500:201202500	1:201400000:201787500
1:201400000:201787500	1:202705000:202990000
1:202705000:202990000	1:203467500:203772500
1:203467500:203772500	1:203777500:204117500
1:203777500:204117500	1:204122500:204342500
1:204122500:204342500	1:204347500:204585000
1:204347500:204585000	1:204882500:205542500
1:204882500:205542500	1:206121250:206395000
1:206121250:206395000	1:207097500:207780000
1:207097500:207780000	1:207840000:208167500
1:207840000:208167500	1:208210000:209370000
1:208210000:209370000	1:209712500:210067500
1:209712500:210067500	1:211665000:212177500
1:211665000:212177500	1:212202500:212610000
1:212202500:212610000	1:218736875:220045625
1:218736875:220045625	1:220832500:221407500
1:220832500:221407500	1:223085000:223865000
1:223085000:223865000	1:224188750:224710000
1:224188750:224710000	1:224752500:225465000
1:224752500:225465000	1:225477500:225942500
1:225477500:225942500	1:228185000:228724375
1:228185000:228724375	1:228748125:229377500
1:228748125:229377500	1:229382500:229697500
1:229382500:229697500	1:229702500:230500000
1:229702500:230500000	1:230992500:231350000
1:230992500:231350000	1:231395000:231975000
1:231395000:231975000	1:233547500:234290000
1:233547500:234290000	1:234435000:235290000
1:234435000:235290000	1:235777500:236212500
1:235777500:236212500	1:240377500:241537500
1:240377500:241537500	1:241590000:242144375
1:241590000:242144375	1:242487500:243193750
1:242487500:243193750	1:244727500:245320000
1:244727500:245320000	1:245330000:246155000
1:245330000:246155000	1:246215000:246620000
1:246215000:246620000	10:116875:692500
10:116875:692500	10:1723750:3135000
10:1723750:3135000	10:4845000:5477500
10:4845000:5477500	10:5695000:5967500
10:5695000:5967500	10:6031250:6457500
10:6031250:6457500	10:6712500:7855000
10:6712500:7855000	10:7999375:9240000
10:7999375:9240000	10:10992500:11532500
10:10992500:11532500	10:11945000:12930000
10:11945000:12930000	10:14050000:14240000
10:14050000:14240000	10:14505000:15255000
10:14505000:15255000	10:15920000:16417500
10:15920000:16417500	10:16810000:17886875
10:16810000:17886875	10:18105625:18770000
10:18105625:18770000	10:19845000:21330000
10:19845000:21330000	10:21700000:22817500
10:21700000:22817500	10:22827500:23437500
10:22827500:23437500	10:23492500:24080000
10:23492500:24080000	10:26485000:26952500
10:26485000:26952500	10:27977500:28961875
10:27977500:28961875	10:29028125:29670000
10:29028125:29670000	10:29707500:30100000
10:29707500:30100000	10:30647500:30952500
10:30647500:30952500	10:30957500:32207500
10:30957500:32207500	10:33672500:34005000
10:33672500:34005000	10:35262500:35515625
10:35262500:35515625	10:35536875:35972500
10:35536875:35972500	10:38180000:39818125
10:38180000:39818125	10:41536250:42583125
10:41536250:42583125	10:42680625:44002500
10:42680625:44002500	10:44100000:45395000
10:44100000:45395000	10:45702500:46375000
10:45702500:46375000	10:46765000:47250000
10:46765000:47250000	10:48148750:48848750
10:48148750:48848750	10:49206250:50187500
10:49206250:50187500	10:50220000:51218125
10:50220000:51218125	10:51404375:51645000
10:51404375:51645000	10:51735000:52426250
10:51735000:52426250	10:53156250:53887500
10:53156250:53887500	10:54660000:55212500
10:54660000:55212500	10:56285000:56490000
10:56285000:56490000	10:56835000:57290000
10:56835000:57290000	10:57610000:57967500
10:57610000:57967500	10:58911875:59190000
10:58911875:59190000	10:60237500:60605000
10:60237500:60605000	10:60742500:61392500
10:60742500:61392500	10:61492500:62001875
10:61492500:62001875	10:63565000:64307500
10:63565000:64307500	10:64327500:64640000
10:64327500:64640000	10:64645000:64882500
10:64645000:64882500	10:64917500:65591875
10:64917500:65591875	10:68442500:69512500
10:68442500:69512500	10:71512500:71802500
10:71512500:71802500	10:71867500:72237500
10:71867500:72237500	10:74120000:74910000
10:74120000:74910000	10:75470000:75920000
10:75470000:75920000	10:76002500:76465625
10:76002500:76465625	10:76522500:77072500
10:76522500:77072500	10:78737500:79632500
10:78737500:79632500	10:79707500:80095000
10:79707500:80095000	10:82001250:82332500
10:82001250:82332500	10:85837500:86357500
10:85837500:86357500	10:90785000:91000000
10:90785000:91000000	10:91005000:91577500
10:91005000:91577500	10:91590000:92522500
10:91590000:92522500	10:92575000:93082500
10:92575000:93082500	10:93737500:94247500
10:93737500:94247500	10:94345000:94830000
10:94345000:94830000	10:95294375:95697500
10:95294375:95697500	10:97132500:97690000
10:97132500:97690000	10:97760000:98112500
10:97760000:98112500	10:99005000:99572500
10:99005000:99572500	10:99637500:100225000
10:99637500:100225000	10:101875000:102342500
10:101875000:102342500	10:102847500:103447500
10:102847500:103447500	10:103522500:103867500
10:103522500:103867500	10:103872500:104142500
10:103872500:104142500	10:104660000:105305000
10:104660000:105305000	10:105425000:105970000
10:105425000:105970000	10:106042500:106432500
10:106042500:106432500	10:106817500:107527500
10:106817500:107527500	10:108987500:110190000
10:108987500:110190000	10:112387500:112935625
10:112387500:112935625	10:113352500:113895000
10:113352500:113895000	10:115440000:116042500
10:115440000:116042500	10:116172500:116837500
10:116172500:116837500	10:117830000:118492500
10:117830000:118492500	10:118836250:119237500
10:118836250:119237500	10:120285000:120795000
10:120285000:120795000	10:120800000:121330000
10:120800000:121330000	10:121730000:122125000
10:121730000:122125000	10:122602500:123752500
10:122602500:123752500	10:123771250:124337500
10:123771250:124337500	10:124650000:124985000
10:124650000:124985000	10:125707500:126167500
10:125707500:126167500	10:126180000:126542500
10:126180000:126542500	10:126870000:127580000
10:126870000:127580000	10:128831875:129647500
10:128831875:129647500	10:132125000:132833750
10:132125000:132833750	10:133015000:133693750
10:133015000:133693750	11:955000:1596250
11:955000:1596250	11:2187500:2402500
11:2187500:2402500	11:3533125:4147500
11:3533125:4147500	11:4152500:4545000
11:4152500:4545000	11:4550000:4667500
11:4550000:4667500	11:4672500:5230625
11:4672500:5230625	11:5236875:5475000
11:5236875:5475000	11:5525000:5967500
11:5525000:5967500	11:5982500:6387500
11:5982500:6387500	11:6392500:6815000
11:6392500:6815000	11:8325000:8650000
11:8325000:8650000	11:8660000:8945000
11:8660000:8945000	11:9132500:9582500
11:9132500:9582500	11:10182500:10382500
11:10182500:10382500	11:10392500:10945000
11:10392500:10945000	11:11035000:11790000
11:11035000:11790000	11:12042500:12402500
11:12042500:12402500	11:13497500:14407500
11:13497500:14407500	11:14417500:14987500
11:14417500:14987500	11:15060000:15250000
11:15060000:15250000	11:15255000:15657500
11:15255000:15657500	11:15822500:16742500
11:15822500:16742500	11:16747500:17090000
11:16747500:17090000	11:17095000:17405000
11:17095000:17405000	11:17500000:18227500
11:17500000:18227500	11:18242500:18807500
11:18242500:18807500	11:20705000:21685000
11:20705000:21685000	11:22642500:23077500
11:22642500:23077500	11:23650000:24157500
11:23650000:24157500	11:27615000:28387500
11:27615000:28387500	11:28882500:29097500
11:28882500:29097500	11:31395000:32215000
11:31395000:32215000	11:33787500:34020000
11:33787500:34020000	11:34135000:34562500
11:34135000:34562500	11:34770000:35607500
11:34770000:35607500	11:35770000:36222500
11:35770000:36222500	11:36275000:36745000
11:36275000:36745000	11:36925000:37502500
11:36925000:37502500	11:42182500:42488125
11:42182500:42488125	11:43277500:44017500
11:43277500:44017500	11:44287500:44532500
11:44287500:44532500	11:45796875:46247500
11:45796875:46247500	11:46422500:46718125
11:46422500:46718125	11:46902500:47175000
11:46902500:47175000	11:47180625:47691875
11:47180625:47691875	11:48417500:49360000
11:48417500:49360000	11:51086250:52386250
11:51086250:52386250	11:57035000:57615000
11:57035000:57615000	11:57675000:58246250
11:57675000:58246250	11:58837500:59312500
11:58837500:59312500	11:59317500:59587500
11:59317500:59587500	11:60575000:61011875
11:60575000:61011875	11:61067500:61238750
11:61067500:61238750	11:61411875:61912500
11:61411875:61912500	11:61917500:62161250
11:61917500:62161250	11:62317500:62695000
11:62317500:62695000	11:63187500:63402500
11:63187500:63402500	11:63415000:63537500
11:63415000:63537500	11:63542500:63945000
11:63542500:63945000	11:64477500:64825000
11:64477500:64825000	11:64965000:65383750
11:64965000:65383750	11:65453125:65632500
11:65453125:65632500	11:65802500:65980000
11:65802500:65980000	11:66132500:66497500
11:66132500:66497500	11:68926875:69540000
11:68926875:69540000	11:69711875:69990625
11:69711875:69990625	11:69998750:70377500
11:69998750:70377500	11:71510000:71877500
11:71510000:71877500	11:71933125:72182500
11:71933125:72182500	11:72295000:73030000
11:72295000:73030000	11:73057500:73515000
11:73057500:73515000	11:73907500:74392500
11:73907500:74392500	11:74407500:74713750
11:74407500:74713750	11:74837500:74957500
11:74837500:74957500	11:74962500:75127500
11:74962500:75127500	11:75132500:75260000
11:75132500:75260000	11:75272500:75587500
11:75272500:75587500	11:75592500:76303125
11:75592500:76303125	11:76432500:76670000
11:76432500:76670000	11:77020000:77482500
11:77020000:77482500	11:77631875:78330000
11:77631875:78330000	11:78335000:78835625
11:78335000:78835625	11:78846875:79222500
11:78846875:79222500	11:81425000:82372500
11:81425000:82372500	11:82460000:83065000
11:82460000:83065000	11:84535000:85237500
11:84535000:85237500	11:85462500:86060000
11:85462500:86060000	11:86587500:87065000
11:86587500:87065000	11:87795000:88863125
11:87795000:88863125	11:89147500:89560000
11:89147500:89560000	11:92867500:93343750
11:92867500:93343750	11:93362500:93563750
11:93362500:93563750	11:93601875:93972500
11:93601875:93972500	11:94125625:94650000
11:94125625:94650000	11:94662500:95517500
11:94662500:95517500	11:95522500:96232500
11:95522500:96232500	11:99135000:100365000
11:99135000:100365000	11:103570000:103977500
11:103570000:103977500	11:104780000:105597500
11:104780000:105597500	11:106192500:107185000
11:106192500:107185000	11:107242500:107725000
11:107242500:107725000	11:107800625:108277500
11:107800625:108277500	11:108357500:108670000
11:108357500:108670000	11:110370000:111275000
11:110370000:111275000	11:111365000:111732500
11:111365000:111732500	11:112215000:112432500
11:112215000:112432500	11:113172500:113540000
11:113172500:113540000	11:113625000:114210000
11:113625000:114210000	11:114702500:116562500
11:114702500:116562500	11:116567500:117272500
11:116567500:117272500	11:117612500:117992500
11:117612500:117992500	11:118610000:118870625
11:118610000:118870625	11:119280000:119615000
11:119280000:119615000	11:120185000:120925000
11:120185000:120925000	11:121027500:121580000
11:121027500:121580000	11:122065000:122417500
11:122065000:122417500	11:122422500:122940625
11:122422500:122940625	11:122955000:123265000
11:122955000:123265000	11:123270000:123510000
11:123270000:123510000	11:123652500:124317500
11:123652500:124317500	11:124742500:125125000
11:124742500:125125000	11:126022500:126395000
11:126022500:126395000	11:127877500:128305000
11:127877500:128305000	11:128322500:128825000
11:128322500:128825000	11:128830000:129585000
11:128830000:129585000	11:129597500:130067500
11:129597500:130067500	11:130342500:130832500
11:130342500:130832500	11:133977500:134937572
11:133977500:134937572	12:77500:1117500
12:77500:1117500	12:1122500:1732500
12:1122500:1732500	12:1742500:1912500
12:1742500:1912500	12:1917500:2186250
12:1917500:2186250	12:3356250:3687500
12:3356250:3687500	12:3692500:3950000
12:3692500:3950000	12:3955000:4458750
12:3955000:4458750	12:4892500:6052500
12:4892500:6052500	12:6102500:6417500
12:6102500:6417500	12:6422500:6701250
12:6422500:6701250	12:6735000:6972500
12:6735000:6972500	12:6992500:7287500
12:6992500:7287500	12:7326250:7972500
12:7326250:7972500	12:9260000:9442500
12:9260000:9442500	12:9651250:10387500
12:9651250:10387500	12:10392500:10922500
12:10392500:10922500	12:11630000:12220000
12:11630000:12220000	12:12456250:13000000
12:12456250:13000000	12:13005000:13447500
12:13005000:13447500	12:13535000:14322500
12:13535000:14322500	12:14327500:14912500
12:14327500:14912500	12:14967500:15195000
12:14967500:15195000	12:16807500:17565000
12:16807500:17565000	12:17917500:18032500
12:17917500:18032500	12:18257500:18928750
12:18257500:18928750	12:19542500:20822500
12:19542500:20822500	12:22492500:22942500
12:22492500:22942500	12:24277500:24937500
12:24277500:24937500	12:25012500:25295000
12:25012500:25295000	12:25387500:25607500
12:25387500:25607500	12:26147500:26897500
12:26147500:26897500	12:28552500:28970000
12:28552500:28970000	12:29175000:29692500
12:29175000:29692500	12:30125000:30785000
12:30125000:30785000	12:30790000:31315000
12:30790000:31315000	12:31702500:32193125
12:31702500:32193125	12:32272500:32562500
12:32272500:32562500	12:33095000:35623750
12:33095000:35623750	12:40617500:40847500
12:40617500:40847500	12:42476250:42852500
12:42476250:42852500	12:42912500:44117500
12:42912500:44117500	12:44122500:44332500
12:44122500:44332500	12:46335000:46742500
12:46335000:46742500	12:46780000:47110000
12:46780000:47110000	12:47151250:47392500
12:47151250:47392500	12:47397500:48092500
12:47397500:48092500	12:48347500:49222500
12:48347500:49222500	12:50122500:50280000
12:50122500:50280000	12:50330000:50645000
12:50330000:50645000	12:50787500:51152500
12:50787500:51152500	12:51402500:51807500
12:51402500:51807500	12:52516875:53383750
12:52516875:53383750	12:54345000:54562500
12:54345000:54562500	12:54567500:54982500
12:54567500:54982500	12:55082500:55370000
12:55082500:55370000	12:55375000:55495000
12:55375000:55495000	12:55515000:56102500
12:55515000:56102500	12:56877500:57165000
12:56877500:57165000	12:58375000:59502500
12:58375000:59502500	12:59567500:59782500
12:59567500:59782500	12:62182500:62602500
12:62182500:62602500	12:63590000:64035000
12:63590000:64035000	12:64072500:64562500
12:64072500:64562500	12:64760000:65217500
12:64760000:65217500	12:65240000:65817500
12:65240000:65817500	12:67625000:68557500
12:67625000:68557500	12:70180000:70797500
12:70180000:70797500	12:71357500:71947500
12:71357500:71947500	12:71952500:72360000
12:71952500:72360000	12:72805000:73252500
12:72805000:73252500	12:76699375:76997500
12:76699375:76997500	12:77007500:77482500
12:77007500:77482500	12:78432500:79882500
12:78432500:79882500	12:80032500:80652500
12:80032500:80652500	12:80737500:81760625
12:80737500:81760625	12:81862500:82822500
12:81862500:82822500	12:84110000:84830000
12:84110000:84830000	12:89375000:89927500
12:89375000:89927500	12:89932500:90717500
12:89932500:90717500	12:91025000:91737500
12:91025000:91737500	12:92120000:93072500
12:92120000:93072500	12:93862500:94497500
12:93862500:94497500	12:94502500:94722500
12:94502500:94722500	12:96625000:96987500
12:96625000:96987500	12:97040000:97360000
12:97040000:97360000	12:98780000:99263125
12:98780000:99263125	12:99537500:100210000
12:99537500:100210000	12:100395000:100760000
12:100395000:100760000	12:100765000:101047500
12:100765000:101047500	12:101157500:101535000
12:101157500:101535000	12:102307500:102602500
12:102307500:102602500	12:102645000:102950000
12:102645000:102950000	12:104522500:105507500
12:104522500:105507500	12:105715000:106597500
12:105715000:106597500	12:106602500:106770000
12:106602500:106770000	12:107145000:107397500
12:107145000:107397500	12:107472500:108072500
12:107472500:108072500	12:108250000:108877500
12:108250000:108877500	12:108882500:109660000
12:108882500:109660000	12:109850000:110232500
12:109850000:110232500	12:110487500:110823750
12:110487500:110823750	12:110841875:111334375
12:110841875:111334375	12:111343125:111805000
12:111343125:111805000	12:112027500:112267500
12:112027500:112267500	12:112282500:112932500
12:112282500:112932500	12:114475000:114990625
12:114475000:114990625	12:115219375:115490625
12:115219375:115490625	12:116342500:117284375
12:116342500:117284375	12:117732500:118321250
12:117732500:118321250	12:118397500:118907500
12:118397500:118907500	12:118912500:119535000
12:118912500:119535000	12:119621250:120085000
12:119621250:120085000	12:121185000:121610000
12:121185000:121610000	12:121732500:121917500
12:121732500:121917500	12:123702500:124210625
12:123702500:124210625	12:128970000:129535000
12:128970000:129535000	12:132132500:132716250
12:132132500:132716250	12:133435000:133829036
12:133435000:133829036	13:19257500:19986250
13:19257500:19986250	13:20071875:20565000
13:20071875:20565000	13:20745000:21481250
13:20745000:21481250	13:21505000:22285000
13:21505000:22285000	13:22290000:23493125
13:22290000:23493125	13:23832500:24480000
13:23832500:24480000	13:24567500:24952500
13:24567500:24952500	13:24957500:25157500
13:24957500:25157500	13:25164375:25369375
13:25164375:25369375	13:25545000:25967500
13:25545000:25967500	13:26062500:26427500
13:26062500:26427500	13:26730000:27372500
13:26730000:27372500	13:28875000:29457500
13:28875000:29457500	13:29597500:29772500
13:29597500:29772500	13:30025625:30692500
