NR2E3	UMLS:C1849394	1
NR2E3	UMLS:C1970163	1
KCNE3	UMLS:C2751089	1
CDH3	UMLS:C1832162	1
CDH3	UMLS:C1857041	1
KCNJ18	UMLS:C2750473	1
GNE	UMLS:C0342853	1
GNE	UMLS:C1833373	1
GNE	UMLS:C1853926	1
HCN4	UMLS:C1834144	1
OCLN	UMLS:C3489725	1
ABCC9	UMLS:C0795905	1
ABCC9	UMLS:C1837839	1
TSFM	UMLS:C1864840	1
LRPPRC	UMLS:C1857355	1
CDH15	UMLS:C2675488	1
OPTN	UMLS:C0339573	1
OPTN	UMLS:C3150692	1
AKAP9	UMLS:C2678483	1
SLC25A13	UMLS:C1853942	1
SLC25A15	UMLS:C0268540	1
CDK4	UMLS:C1836892	1
CD96	UMLS:C0796095	1
ZMPSTE24	UMLS:C1837756	1
CDKN2A	UMLS:C1835044	1
CDKN2A	UMLS:C1838547	1
ADAR	UMLS:C0406775	1
TCIRG1	UMLS:C1850127	1
TUBB3	UMLS:C2748801	1
EMG1	UMLS:C1859405	1
HAX1	UMLS:C1853118	1
SEC23A	UMLS:C1843042	1
CEBPA	UMLS:C0023467	1
FBLN5	UMLS:C0268351	1
FBLN5	UMLS:C1837187	1
RNASEH2A	UMLS:C1835912	1
AGPAT2	UMLS:C1720862	1
SPTLC1	UMLS:C3149656	1
SLC19A2	UMLS:C0342287	1
ARFGEF2	UMLS:C1842563	1
SLC34A2	UMLS:C0155912	1
NPC2	UMLS:C1843366	1
POMT1	UMLS:C0265221	1
POMT1	UMLS:C1836373	1
POMT1	UMLS:C3150415	1
PRPF8	UMLS:C1838702	1
SPINT2	UMLS:C0267663	1
EBP	UMLS:C2931843	1
DLL3	UMLS:C0265343	1
CLDN16	UMLS:C0268448	1
CETP	UMLS:C3149462	1
CFL2	UMLS:C1853154	1
MASP2	UMLS:C3151085	1
CTSC	UMLS:C0030360	1
CTSC	UMLS:C0031106	1
CTSC	UMLS:C1855627	1
CFTR	UMLS:C0010674	1
CFTR	UMLS:C0403814	1
SEPT9	UMLS:C1834304	1
GJB6	UMLS:C2675237	1
FTCD	UMLS:C0268609	1
PNPLA6	UMLS:C2677586	1
EDAR	UMLS:C0406702	1
EDAR	UMLS:C1720965	1
AFG3L2	UMLS:C1853249	1
SLC27A4	UMLS:C1837610	1
CHAT	UMLS:C0393929	1
TRIOBP	UMLS:C1853276	1
KERA	UMLS:C1857574	1
CAPN10	UMLS:C0011860	1
SLC7A9	UMLS:C0010691	1
LDB3	UMLS:C1832244	1
CHM	UMLS:C0008525	1
POLG2	UMLS:C1864668	1
PRRT2	UMLS:C1868682	1
TREX1	UMLS:C0024141	1
TREX1	UMLS:C0796126	1
HOGA1	UMLS:C3150878	1
PNKP	UMLS:C3150667	1
B4GALT7	UMLS:C1869122	1
LYST	UMLS:C0007965	1
PARK7	UMLS:C1853445	1
CHST14	UMLS:C1866294	1
SLC46A1	UMLS:C0342705	1
SLC52A3	UMLS:C0796274	1
CHRNA1	UMLS:C1837122	1
CHRNA1	UMLS:C1854678	1
CHRNA2	UMLS:C1835905	1
CHRNA4	UMLS:C1838049	1
CHRNB2	UMLS:C1854335	1
EFHC1	UMLS:C0270853	1
CHRND	UMLS:C1837122	1
CHRND	UMLS:C1854678	1
CHRNE	UMLS:C1837091	1
CHRNE	UMLS:C1837122	1
NLRP3	UMLS:C0268390	1
NLRP3	UMLS:C0343068	1
CHRNG	UMLS:C0265261	1
CHRNG	UMLS:C1854678	1
C1QTNF5	UMLS:C1854065	1
SLC22A12	UMLS:C0473219	1
AP2S1	UMLS:C1833372	1
TMC1	UMLS:C1832978	1
TMC1	UMLS:C1847626	1
ADD1	UMLS:C0020538	1
CLCN1	UMLS:C0751360	1
CLCN1	UMLS:C2936781	1
CLCN5	UMLS:C0403720	1
CLCN5	UMLS:C1839874	1
CLCN5	UMLS:C1845168	1
CLCN5	UMLS:C1848336	1
CLCN7	UMLS:C1969106	1
CLCNKA	UMLS:C2751312	1
CLCNKB	UMLS:C1846343	1
ZFYVE27	UMLS:C1853251	1
TPP1	UMLS:C1876161	1
CLN3	UMLS:C2931674	1
CYP2R1	UMLS:C1838657	1
CLN5	UMLS:C1850442	1
LRRK2	UMLS:C0030567	1
LRRK2	UMLS:C1846862	1
KRT74	UMLS:C1860238	1
FGD4	UMLS:C1836336	1
RXFP2	UMLS:C0010417	1
NIPA1	UMLS:C1838192	1
DNAAF1	UMLS:C2750790	1
ABCC2	UMLS:C0022350	1
CANT1	UMLS:C0432242	1
USH1G	UMLS:C1847089	1
CNGA3	UMLS:C1857618	1
CYP4F22	UMLS:C1858142	1
GJB4	UMLS:C0265961	1
COL1A1	UMLS:C0020497	1
COL1A1	UMLS:C0268335	1
COL1A1	UMLS:C0268358	1
COL1A1	UMLS:C0268362	1
COL1A1	UMLS:C0268363	1
COL1A2	UMLS:C0268358	1
COL1A2	UMLS:C0268362	1
COL1A2	UMLS:C0268363	1
COL2A1	UMLS:C0220685	1
COL2A1	UMLS:C0265253	1
COL2A1	UMLS:C0265279	1
COL2A1	UMLS:C0700635	1
COL2A1	UMLS:C1835437	1
COL2A1	UMLS:C1836080	1
COL2A1	UMLS:C1851536	1
COL2A1	UMLS:C1858079	1
COL2A1	UMLS:C2745959	1
COL3A1	UMLS:C0268337	1
COL4A1	UMLS:C1843512	1
COL4A1	UMLS:C1867983	1
COL4A1	UMLS:C2673195	1
COL4A3	UMLS:C0241908	1
PROKR2	UMLS:C0162809	1
COL4A5	UMLS:C1567742	1
CHMP4B	UMLS:C1854311	1
COL5A1	UMLS:C0268335	1
COL5A1	UMLS:C0268336	1
COL6A1	UMLS:C0410179	1
COL6A1	UMLS:C1834674	1
COL6A2	UMLS:C0410179	1
COL6A2	UMLS:C1834674	1
COL6A3	UMLS:C0410179	1
COL6A3	UMLS:C1834674	1
COL7A1	UMLS:C0079474	1
COL7A1	UMLS:C0432321	1
COL7A1	UMLS:C0432322	1
COL7A1	UMLS:C1275114	1
COL7A1	UMLS:C1843761	1
COL7A1	UMLS:C1851573	1
DIS3L2	UMLS:C0796113	1
COL8A2	UMLS:C1850959	1
COL8A2	UMLS:C1852795	1
COL9A2	UMLS:C0158252	1
BBS5	UMLS:C0752166	1
COL10A1	UMLS:C0265289	1
COL11A1	UMLS:C1858084	1
COL11A2	UMLS:C0432210	1
COL11A2	UMLS:C1848488	1
COL11A2	UMLS:C1864746	1
COL11A2	UMLS:C1866095	1
ZNF513	UMLS:C3150879	1
COL17A1	UMLS:C0268374	1
COMP	UMLS:C0410538	1
COMP	UMLS:C1838280	1
COMT	UMLS:C0036341	1
UROC1	UMLS:C0268514	1
EVC2	UMLS:C0013903	1
COX6B1	UMLS:C0268237	1
WDR36	UMLS:C1835933	1
COX15	UMLS:C0023264	1
NOBOX	UMLS:C1969060	1
CPN1	UMLS:C0398782	1
CPOX	UMLS:C0162531	1
CPS1	UMLS:C0751753	1
CPT2	UMLS:C1833508	1
NKX2-6	UMLS:C1857586	1
CREBBP	UMLS:C0035934	1
CRX	UMLS:C0035334	1
TRPM6	UMLS:C1865974	1
CRYAB	UMLS:C1837317	1
CRYBA4	UMLS:C1864878	1
CRYBA4	UMLS:C1864879	1
CRYBB3	UMLS:C1857853	1
CRYGD	UMLS:C1861832	1
CSF2RA	UMLS:C2677877	1
CSF3R	UMLS:C0543669	1
PRICKLE1	UMLS:C2676254	1
RDH12	UMLS:C2675186	1
CCBE1	UMLS:C0340834	1
APCDD1	UMLS:C1854310	1
CSTB	UMLS:C0751785	1
SIX5	UMLS:C1970479	1
NKX2-5	UMLS:C0039685	1
NKX2-5	UMLS:C2673630	1
NKX2-5	UMLS:C3276096	1
HFE2	UMLS:C1865614	1
CLDN19	UMLS:C1855466	1
CTNS	UMLS:C0268626	1
CTNS	UMLS:C2931013	1
CTNNB1	UMLS:C0025149	1
CTNNB1	UMLS:C0206711	1
CTSD	UMLS:C1864669	1
CTSK	UMLS:C0238402	1
SLC36A2	UMLS:C0268654	1
SLC36A2	UMLS:C0543541	1
CYBA	UMLS:C1856255	1
CYBB	UMLS:C1844376	1
CYLD	UMLS:C1275122	1
CYP1B1	UMLS:C0339573	1
CYP1B1	UMLS:C1842028	1
CYP1B1	UMLS:C1856439	1
KCTD7	UMLS:C2673257	1
ESCO2	UMLS:C0392475	1
VPS13B	UMLS:C0265223	1
ADSL	UMLS:C0268126	1
FREM1	UMLS:C1855425	1
FREM1	UMLS:C2750433	1
CYP11B1	UMLS:C0268292	1
CYP11B2	UMLS:C0268293	1
CYP17A1	UMLS:C0268285	1
CYP19A1	UMLS:C1970109	1
CYP21A2	UMLS:C2936858	1
CYP27A1	UMLS:C0238052	1
CYP27B1	UMLS:C0268689	1
AARS	UMLS:C2750090	1
SPRED1	UMLS:C1969623	1
DBH	UMLS:C0342687	1
NAGS	UMLS:C0268543	1
DBT	UMLS:C0024776	1
ACE	UMLS:C0002395	1
ACE	UMLS:C0020538	1
ACE	UMLS:C0027051	1
DCTN1	UMLS:C1843315	1
DCTN1	UMLS:C1868594	1
DCX	UMLS:C1848199	1
DDB2	UMLS:C1848411	1
TMPRSS6	UMLS:C0085576	1
DDX11	UMLS:C3150658	1
BBS12	UMLS:C0752166	1
MMAA	UMLS:C1855109	1
DES	UMLS:C1832370	1
DES	UMLS:C1858154	1
DES	UMLS:C1867005	1
TIMM8A	UMLS:C0796074	1
COCH	UMLS:C1832425	1
KCNV2	UMLS:C1835897	1
ARX	UMLS:C0796124	1
ARX	UMLS:C0796244	1
ARX	UMLS:C1846171	1
ARX	UMLS:C3463992	1
DGUOK	UMLS:C3151513	1
DHCR7	UMLS:C0175694	1
DHCR24	UMLS:C1865596	1
CYB5R3	UMLS:C0268193	1
DKC1	UMLS:C1846142	1
AGA	UMLS:C0268225	1
DMD	UMLS:C0013264	1
SARDH	UMLS:C0268563	1
ACAN	UMLS:C0029421	1
ACAN	UMLS:C2748544	1
DNAH5	UMLS:C1837618	1
AGL	UMLS:C0017922	1
DNM2	UMLS:C1834558	1
DNM2	UMLS:C1847902	1
DNMT3B	UMLS:C0398788	1
DPAGT1	UMLS:C2931004	1
ABAT	UMLS:C0342708	1
DPYD	UMLS:C1959620	1
DPYS	UMLS:C0342803	1
DRD4	UMLS:C1263846	1
JAG1	UMLS:C0039685	1
DSC2	UMLS:C1864850	1
DSG2	UMLS:C1857777	1
AGT	UMLS:C0020538	1
AGT	UMLS:C0266313	1
DSP	UMLS:C1843292	1
DSP	UMLS:C1843896	1
DSPP	UMLS:C0399378	1
DSPP	UMLS:C0399380	1
DSPP	UMLS:C1854146	1
SLC26A2	UMLS:C0265274	1
SLC26A2	UMLS:C1847593	1
SLC26A2	UMLS:C1850554	1
DTNA	UMLS:C1858725	1
AGTR1	UMLS:C0020538	1
AGTR1	UMLS:C0266313	1
AGXT	UMLS:C0268164	1
TYMP	UMLS:C0872218	1
ECM1	UMLS:C0023795	1
EDA	UMLS:C0162359	1
EDA	UMLS:C1970757	1
ABCA1	UMLS:C0039292	1
EDN3	UMLS:C2750457	1
EDNRB	UMLS:C1848519	1
EFNB1	UMLS:C0220767	1
EGF	UMLS:C2673648	1
EGR2	UMLS:C0393818	1
EGR2	UMLS:C1843247	1
EIF2B1	UMLS:C1858991	1
UBR1	UMLS:C0175692	1
ELANE	UMLS:C0221023	1
ELANE	UMLS:C1859966	1
PIKFYVE	UMLS:C1562113	1
ARL13B	UMLS:C2676771	1
FLCN	UMLS:C0346010	1
FLCN	UMLS:C1868193	1
ENG	UMLS:C0039445	1
ENO3	UMLS:C2752027	1
AK1	UMLS:C2675459	1
EPAS1	UMLS:C2673187	1
EPB42	UMLS:C2675192	1
ANO5	UMLS:C1833736	1
ANO5	UMLS:C1969785	1
AK2	UMLS:C0272167	1
CLN8	UMLS:C1864923	1
EPOR	UMLS:C1851490	1
ERCC1	UMLS:C1853100	1
ERCC2	UMLS:C0268138	1
ERCC2	UMLS:C1853102	1
ERCC2	UMLS:C1866504	1
ERCC3	UMLS:C0268136	1
ERCC3	UMLS:C1866504	1
ERCC4	UMLS:C0268140	1
ERCC4	UMLS:C1970416	1
ERCC5	UMLS:C0268141	1
ERCC6	UMLS:C0220722	1
AKT2	UMLS:C0011860	1
ABCA3	UMLS:C1970456	1
ALAD	UMLS:C0268328	1
ESRRB	UMLS:C1837857	1
ETFA	UMLS:C0268596	1
ETFB	UMLS:C0268596	1
ALAS2	UMLS:C0221018	1
EVC	UMLS:C0013903	1
EVC	UMLS:C0457013	1
EXT1	UMLS:C0008479	1
EXT1	UMLS:C0015306	1
EXT2	UMLS:C1851413	1
EYA1	UMLS:C2936782	1
F2	UMLS:C0020640	1
ABCD1	UMLS:C0162309	1
F5	UMLS:C0015499	1
F5	UMLS:C1861171	1
F7	UMLS:C0015503	1
F9	UMLS:C0008533	1
F9	UMLS:C2749016	1
F11	UMLS:C0015523	1
F12	UMLS:C0015526	1
F12	UMLS:C1857728	1
FANCD2	UMLS:C3160738	1
ACSL4	UMLS:C1845672	1
HYLS1	UMLS:C1856016	1
ABCB7	UMLS:C1845028	1
FBN1	UMLS:C0024796	1
FBN1	UMLS:C1321551	1
FBN1	UMLS:C1861456	1
FBN1	UMLS:C3149104	1
LRTOMT	UMLS:C1969621	1
FBN2	UMLS:C0220668	1
EFEMP1	UMLS:C1832174	1
FBP1	UMLS:C0016756	1
FKTN	UMLS:C0410174	1
FKTN	UMLS:C1969024	1
FKTN	UMLS:C1969040	1
FKTN	UMLS:C2751052	1
LHFPL5	UMLS:C1853223	1
FECH	UMLS:C0162568	1
ALDH3A2	UMLS:C0037231	1
FGA	UMLS:C0268389	1
FGB	UMLS:C0019250	1
FGD1	UMLS:C0175701	1
FGF3	UMLS:C1853144	1
FGF9	UMLS:C2751826	1
FGF10	UMLS:C0265269	1
FGF14	UMLS:C1836383	1
ALDOA	UMLS:C0272066	1
FGFR1	UMLS:C0432122	1
FGFR1	UMLS:C0432283	1
FGFR3	UMLS:C0001080	1
FGFR3	UMLS:C0265269	1
FGFR3	UMLS:C0334082	1
FGFR3	UMLS:C0410529	1
FGFR3	UMLS:C1300257	1
FGFR3	UMLS:C1864436	1
FGFR3	UMLS:C1864852	1
FGFR3	UMLS:C2677099	1
FGFR2	UMLS:C0010273	1
FGFR2	UMLS:C0265269	1
FGFR2	UMLS:C0795998	1
FGFR2	UMLS:C1852406	1
FGFR2	UMLS:C1865070	1
FGFR2	UMLS:C2936791	1
FH	UMLS:C1708350	1
FHL1	UMLS:C2678027	1
FHL1	UMLS:C2678055	1
FHL1	UMLS:C2678061	1
DOLK	UMLS:C1835849	1
ICK	UMLS:C2675227	1
ALDOB	UMLS:C0016751	1
FOXG1	UMLS:C3150705	1
RPIA	UMLS:C1291609	1
CCT5	UMLS:C1850395	1
TRIM32	UMLS:C0270968	1
TRIM32	UMLS:C0752166	1
FOXC1	UMLS:C1866560	1
FOXC1	UMLS:C2678503	1
RIMS1	UMLS:C1863634	1
FOXE3	UMLS:C1862839	1
SNRNP200	UMLS:C1835895	1
FOXC2	UMLS:C0265345	1
FOXE1	UMLS:C1855794	1
SETX	UMLS:C1853761	1
SETX	UMLS:C1865409	1
ARHGAP26	UMLS:C0349639	1
KIF1B	UMLS:C1861678	1
IQSEC2	UMLS:C2931498	1
PHF8	UMLS:C1846055	1
FLNA	UMLS:C0262436	1
FLNA	UMLS:C0265251	1
FLNA	UMLS:C0265293	1
FLNA	UMLS:C1844696	1
FLNA	UMLS:C1845235	1
FLNA	UMLS:C1848213	1
FLNB	UMLS:C0265283	1
FLNB	UMLS:C0432201	1
FLNB	UMLS:C1862414	1
GPD1L	UMLS:C2673193	1
MLC1	UMLS:C1858854	1
NBEAL2	UMLS:C0272302	1
FLT3	UMLS:C0023467	1
ARHGEF9	UMLS:C1845102	1
VPS13A	UMLS:C0393576	1
FLT4	UMLS:C1704423	1
FLT4	UMLS:C1865871	1
FMO3	UMLS:C0342739	1
FMR1	UMLS:C0016667	1
RPGRIP1L	UMLS:C1857662	1
RPGRIP1L	UMLS:C1969052	1
RPGRIP1L	UMLS:C1969053	1
SMCHD1	UMLS:C1834671	1
FN1	UMLS:C1866075	1
NCSTN	UMLS:C1840560	1
MED13L	UMLS:C1837341	1
PIP5K1C	UMLS:C1969655	1
ATP13A2	UMLS:C1847640	1
DICER1	UMLS:C1266144	1
ZFPM2	UMLS:C0039685	1
CRB1	UMLS:C1838647	1
CRB1	UMLS:C1868310	1
ETHE1	UMLS:C1865349	1
TNFRSF13B	UMLS:C1836032	1
TSPAN12	UMLS:C2750079	1
AMACR	UMLS:C1858328	1
NUP62	UMLS:C0795996	1
AIPL1	UMLS:C1858386	1
ABCA4	UMLS:C1855465	1
ABCA4	UMLS:C1858806	1
ABCA4	UMLS:C3495438	1
ALOX12B	UMLS:C1855792	1
SLC17A8	UMLS:C1854158	1
FSHB	UMLS:C1856716	1
ALPL	UMLS:C0268413	1
FSHR	UMLS:C0085083	1
FSHR	UMLS:C0685838	1
FTL	UMLS:C1853578	1
NR5A1	UMLS:C2751825	1
FUCA1	UMLS:C0016788	1
G6PC	UMLS:C0017920	1
MSRB3	UMLS:C2239351	1
BRWD3	UMLS:C1970841	1
SLC37A4	UMLS:C0268146	1
SLC37A4	UMLS:C0342749	1
GAA	UMLS:C0017921	1
PCSK9	UMLS:C1863551	1
MFSD8	UMLS:C1838571	1
GABRG2	UMLS:C1858674	1
ALX3	UMLS:C1876203	1
GAD1	UMLS:C2751938	1
RAB3GAP2	UMLS:C0796037	1
FBXO7	UMLS:C1850100	1
GALC	UMLS:C0023521	1
NIPBL	UMLS:C0270972	1
COG4	UMLS:C3150736	1
NDUFAF3	UMLS:C1838979	1
TMIE	UMLS:C1832992	1
GAMT	UMLS:C0574080	1
SAMHD1	UMLS:C2749659	1
PNKD	UMLS:C1869117	1
MMACHC	UMLS:C1848561	1
CHMP2B	UMLS:C1833296	1
SETBP1	UMLS:C0265227	1
GIGYF2	UMLS:C1843211	1
LDLRAP1	UMLS:C1863512	1
PRPF31	UMLS:C1838601	1
ABCA12	UMLS:C0598226	1
ABCA12	UMLS:C1832550	1
GARS	UMLS:C1832274	1
GARS	UMLS:C1833308	1
NPHP4	UMLS:C1846979	1
NPHP4	UMLS:C1847013	1
PHGDH	UMLS:C1866174	1
GATA1	UMLS:C1839161	1
GATA1	UMLS:C1845837	1
GATA3	UMLS:C1840333	1
GATA4	UMLS:C1842778	1
HIBCH	UMLS:C0342738	1
VPS33B	UMLS:C1859722	1
TINF2	UMLS:C1327916	1
SACS	UMLS:C1849140	1
GBE1	UMLS:C0017923	1
HSPB8	UMLS:C1834692	1
HSPB8	UMLS:C1837552	1
GCDH	UMLS:C0268595	1
GCH1	UMLS:C0268467	1
GCH1	UMLS:C1851920	1
GCK	UMLS:C0011860	1
GCK	UMLS:C1841962	1
GCK	UMLS:C1865290	1
AMELX	UMLS:C1845052	1
CNNM4	UMLS:C3495589	1
OPN1MW	UMLS:C0339537	1
OPN1MW	UMLS:C1415024	1
GDF1	UMLS:C0039685	1
GDF1	UMLS:C1857586	1
BSCL2	UMLS:C1720863	1
BSCL2	UMLS:C1833308	1
BSCL2	UMLS:C2931276	1
GFAP	UMLS:C0270726	1
GFER	UMLS:C2751320	1
GFI1	UMLS:C1842930	1
GFI1	UMLS:C2751288	1
GGCX	UMLS:C1835813	1
GGCX	UMLS:C1848534	1
AMH	UMLS:C1849930	1
GH1	UMLS:C0271567	1
GH1	UMLS:C1849779	1
GH1	UMLS:C2748571	1
AMHR2	UMLS:C1849930	1
GHR	UMLS:C0271568	1
GHR	UMLS:C1858656	1
GHRHR	UMLS:C2748571	1
GHSR	UMLS:C1858656	1
GIF	UMLS:C1394891	1
GJA1	UMLS:C0018522	1
GJA1	UMLS:C0152101	1
GJA1	UMLS:C0812437	1
GJA1	UMLS:C1861366	1
GJA1	UMLS:C3275750	1
GJA3	UMLS:C1866078	1
DNAI1	UMLS:C0022521	1
GJA5	UMLS:C1838539	1
GJA8	UMLS:C1861828	1
NPHP3	UMLS:C1858392	1
NPHP3	UMLS:C2673883	1
ATP2C1	UMLS:C0085106	1
ACAD8	UMLS:C1969809	1
GJB1	UMLS:C0393808	1
GJB2	UMLS:C0265336	1
GJB2	UMLS:C0265964	1
GJB2	UMLS:C0266004	1
GJB2	UMLS:C1835672	1
GJB2	UMLS:C1865234	1
GJB2	UMLS:C2673759	1
GJB2	UMLS:C2675750	1
GJB3	UMLS:C0265961	1
GJB3	UMLS:C2675236	1
GK	UMLS:C0268418	1
INVS	UMLS:C1865872	1
GLA	UMLS:C0002986	1
DISC1	UMLS:C0036341	1
GPC3	UMLS:C0796154	1
GNMT	UMLS:C1847720	1
COQ2	UMLS:C1843920	1
BBS9	UMLS:C0752166	1
MMADHC	UMLS:C1848552	1
SRPX2	UMLS:C1845070	1
GCLC	UMLS:C1856603	1
GLDC	UMLS:C0751748	1
GLE1	UMLS:C1854664	1
GLE1	UMLS:C2678471	1
GLI2	UMLS:C1835819	1
GLI3	UMLS:C0220697	1
GLI3	UMLS:C0265306	1
BIN1	UMLS:C0410204	1
GLRA1	UMLS:C1835614	1
HTRA2	UMLS:C1853202	1
GLUD1	UMLS:C1847555	1
AMT	UMLS:C0751748	1
GLUL	UMLS:C1864910	1
GM2A	UMLS:C0268275	1
GNAS	UMLS:C0334041	1
GNAS	UMLS:C3494506	1
GNAT1	UMLS:C1864870	1
GNRHR	UMLS:C0271582	1
GP1BA	UMLS:C0005129	1
GP1BA	UMLS:C1280798	1
GP1BA	UMLS:C3277076	1
GP1BB	UMLS:C0005129	1
GP9	UMLS:C0005129	1
GPI	UMLS:C3150730	1
RBM20	UMLS:C2750995	1
ANG	UMLS:C2678468	1
TSEN54	UMLS:C1848526	1
TSEN54	UMLS:C1856974	1
SUMF1	UMLS:C0268263	1
CYP4V2	UMLS:C1859486	1
DOK7	UMLS:C1850792	1
SH3PXD2B	UMLS:C1855305	1
ANK1	UMLS:C2674218	1
ILDR1	UMLS:C1864818	1
ANK2	UMLS:C1970119	1
GRIA3	UMLS:C2678051	1
GRN	UMLS:C1843792	1
FLVCR1	UMLS:C1836916	1
